Title,Author,Source,Persona,Date_Collected,Trend_Reason,Trend_Category,Genre Tag(s),Series,Publisher,First_Publish_Year,Page_Count,Adaptation,Diversity_Rep,Content_Warnings,Description,Content_Warning_Category,Diversity_Category,Genre_Category,Genre_Tropes,Genre_Themes,Genre_Format,Genre_Subtags
The Prince and the Dressmaker,Jen Wang,BookTok,Toni,25-May,Graphic fairytale resurges with cosplay fandom,Viral Momentum,"Graphic Novel, Queer Fairytale",No,First Second,2018,288,Not Yet Considered,Gender Dysphoria,A prince wears dresses at night — and finds love,,Uncategorized,Gender Identity,Graphic Works,,,Graphic Novel,Graphic Novel
Witchbody,Sabrina Scott,BookTok,Toni,25-May,Queer ecological witchcraft zine resurging,Queer / Identity-Based Discovery,"Graphic Essay, Occult Theory",No,Self-Pub / indie,2019,120,Not Yet Considered,,"A visual essay on witchcraft, body, and nature",,"Sexual Violence / SA, Supernatural Horror",,Nonfiction / Essay,,,,
Juniper & Thorn,Ava Reid,BookTok,Toni,25-May,Gothic fairytale horror still drawing new readers,Other / Uncategorized,"Dark Fantasy, Horror",No,Harper Voyager,2022,304,Not Yet Considered,,A witch girl fights patriarchal control in a cursed city,,"Supernatural Horror, Violence",,Fantasy,,,,
Tell Me How It Ends,Valeria Luiselli,BookTok,Toni,25-May,Short-form activism & immigration storytelling resurging,Viral Momentum,"Essay, Nonfiction",No,Coffee House Press,2017,128,Not Yet Considered,,A translator recounts real migrant children’s stories,,Uncategorized,,Nonfiction / Essay,,,,
The Stars and the Blackness Between Them,Junauda Petrus,BookTok,Toni,25-May,Queer poetic novel resurging for stargazers & softies,Queer / Identity-Based Discovery,"YA Literary, Magical Realism",No,Dutton,2019,320,Not Yet Considered,,A Trinidadian girl meets a girl in Minneapolis — and love,,Uncategorized,,Fantasy,,,,
We Light Up the Sky,Lilliam Rivera,BookTok,Toni,25-May,Anti-colonial alien sci-fi re-trending via alt recs,Viral Momentum,YA Sci-Fi,No,Bloomsbury YA,2021,224,Not Yet Considered,,"A girl, a ghost, and an alien visitor",,Supernatural Horror,,Science Fiction,,,,
Your Heart is a Muscle the Size of a Fist,Sunil Yapa,BookTok,Toni,25-May,Protest lit resurging amid political unrest,Viral Momentum,"Literary Fiction, Protest Lit",No,Lee Boudreaux Books,2016,320,Not Yet Considered,,A young man is caught between protestors and cops at WTO,,War / Political Oppression,,Uncategorized,,,,
When the Moon Was Ours,Anna-Marie McLemore,BookTok,Toni,25-May,Queer trans fairytale remains a quiet classic,Queer / Identity-Based Discovery,YA Magical Realism,No,Thomas Dunne,2016,288,Not Yet Considered,"Transphobia,Secrets",A moonmaker and a rose-growing girl in a magical small town,,Uncategorized,Gender Identity,Fantasy,,,,
A Natural History of Transition,Callum Angus,BookTok,Toni,25-May,Indie queer lit gaining momentum via small press fans,Indie Author Buzz,"Literary Fiction, Speculative",No,Metonymy Press,2021,160,Not Yet Considered,"Dysphoria,Transformation","Surreal, mythic stories of gender and body shifts",,Uncategorized,Gender Identity,Speculative Fiction,,,,
Light from Uncommon Stars,Ryka Aoki,BookTok,Toni,25-May,Space violinists + demons + donuts = viral again,Viral Momentum,Queer Sci-Fi Fantasy,No,Tor,2021,384,Not Yet Considered,,A trans violinist finds family with a space alien baker,,Uncategorized,,Fantasy,,,,
Abolition. Feminism. Now.,"Angela Davis, Gina Dent, et al.",BookTok,Toni,25-May,Radical nonfiction trending through #booktokfeminism,Series Momentum,"Nonfiction, Political Theory",No,Haymarket Books,2022,220,Not Yet Considered,Incarceration,"A call to rethink justice, care, and systems",,Uncategorized,Uncategorized,Nonfiction / Essay,,Political,,Political
Cemetery Boys,Aiden Thomas,BookTok,Toni,25-May,Sapphic-coded ghost story still beloved,Viral Momentum,"YA Paranormal, Romance",No,Swoon Reads,2020,352,Not Yet Considered,,A boy summons a ghost who won’t leave,,Supernatural Horror,,Romance,,,,
Dreaming of You,Melissa Lozada-Oliva,BookTok,Toni,25-May,Bizarre poetic horror novella trending again,Viral Momentum,"Poetry/Novella, Pop Culture Horror",No,Astra House,2021,112,TV,,A girl resurrects Selena — with chaotic results,,Uncategorized,,Horror,,,Novella,Novella
Never Heroes,T. Rafael Cimino,BookTok,Toni,25-May,Latinx urban fantasy gaining steam via indie hype,Indie Author Buzz,"Urban Fantasy, Action Lit",No,Self-Pub,2024,380,Film,,A washed-up cop becomes protector of ancient deities in Miami,,Uncategorized,,Fantasy,,,,
